id,legacyId,firstName,lastName,department,school,avgRating,avgDifficulty,numRatings,wouldTakeAgainPercent
VGVhY2hlci0yODg1NzA3,2885707,Jonathan ,Madison ,History,Brigham Young University,2.8,3.6,22,45.4545
VGVhY2hlci0zMDY0MTE5,3064119,Allan,Guymon,Chemical Engineering,Brigham Young University,2,3.3,6,33.3333
VGVhY2hlci0zMDkwNzkw,3090790,Alberta,Madrid,Visual Arts,Brigham Young University,5,1,4,100
VGVhY2hlci0yOTg5NDIw,2989420,Shaughn,Hirz,Mathematics,Brigham Young University,5,2.5,2,100
VGVhY2hlci0yMzYzMTI=,236312,Larry,Nelson,Social Science,Brigham Young University,4.6,2.8,552,89.2734
VGVhY2hlci0yOTU4OTA4,2958908,Ross,Baron,Religion,Brigham Young University,4.5,1.6,56,85.7143
VGVhY2hlci05NDM1MDM=,943503,Kelly,Loosli,Visual Arts,Brigham Young University,4.2,3.6,21,80
VGVhY2hlci0yMjM2Mzc5,2236379,Tyson,Reeder,History,Brigham Young University,3.9,3.4,17,52.9412
VGVhY2hlci0xOTAyODA4,1902808,Tiffany,Hilton,Statistics,Brigham Young University,4.7,2.9,155,94.1606
VGVhY2hlci0yNzk1ODA=,279580,Steve,McKay,Mathematics,Brigham Young University,3.4,3.7,150,62.8205
VGVhY2hlci0xNDI2OTc2,1426976,Evan,Ward,History,Brigham Young University,4.2,2.6,89,69.4915
VGVhY2hlci0yMTE1Mzk4,2115398,Mark,Ellison,Religion,Brigham Young University,4.4,3.2,60,81.6667
VGVhY2hlci0yMDU3ODI5,2057829,Christian,Vom Lehn,Economics,Brigham Young University,4.7,3.6,49,89.7436
VGVhY2hlci0yNzIwNTA=,272050,Samuel,Otterstrom,Geography,Brigham Young University,3.4,3.1,43,72.7273
VGVhY2hlci0zMDAxMTEy,3001112,Jared,Barrott,Biology,Brigham Young University,4,2.8,20,75
VGVhY2hlci0yNDgxMTE5,2481119,Kevin,Blankinship,Arabic,Brigham Young University,3.8,3.4,18,72.2222
